Municípios,Código,Gentílico,População 2010,Área da unidade territorial (km²),Densidade demográfica (hab/km²),PIB a preços correntes
Capivari,3510401,capivariano,48.576,"322,88","150,5",1.257.676
Caraguatatuba,3510500,caraguatatubense,100.84,"485,10","207,9",1.549.911
Carapicuíba,3510609,carapicuibano,369.584,"34,55","10.698,3",3.938.953
Cardoso,3510708,cardosense,11.805,"639,73","18,5",166.963
Casa Branca,3510807,casa-branquense,28.307,"864,18","32,8",640.369
Cássia dos Coqueiros,3510906,cassiano,2.634,"191,68","13,7",42.221
Castilho,3511003,castilhense,18.003,"1.065,80","16,9",798.164
Catanduva,3511102,catanduvense,112.82,"290,60","388,2",2.531.994
Catiguá,3511201,catigüense,7.127,"148,39","48,0",106.667
Cedral,3511300,cedralense,7.972,"197,69","40,3",149.626
Cerqueira César,3511409,cerqueirense,17.532,"511,62","34,3",413.659
Cerquilho,3511508,cerquilhense,39.617,"127,80","310,0",2.555.239
Cesário Lange,3511607,cesariano-lange,15.54,"190,77","81,5",282.584
Charqueada,3511706,charqueadense,15.085,"175,85","85,8",223.386
Chavantes,3557204,chavantense,12.114,"188,10","64,4",234.624
Clementina,3511904,clementinense,7.065,"168,84","41,9",129.865
Colina,3512001,colinense,17.371,"422,57","41,1",493.395
Colômbia,3512100,colombiense,5.994,"729,25","8,2",200.6
Conchal,3512209,conchalense,25.229,"182,79","138,0",449.423
Conchas,3512308,conchense,16.288,"466,02","35,0",321.612
Cordeirópolis,3512407,cordeiropolense,21.08,"137,58","153,2",1.691.930
Coroados,3512506,coroadense,5.238,"246,36","21,3",96.876
Coronel Macedo,3512605,macedense,5.001,"303,93","16,5",89.123
Corumbataí,3512704,corumbataiense,3.874,"278,62","13,9",135.862
Cosmópolis,3512803,cosmopolense,58.827,"154,66","380,4",961.679
Cosmorama,3512902,cosmoramense,7.214,"441,71","16,3",130.104
Cotia,3513009,cotiano,201.15,"324,01","620,8",7.024.820
Cravinhos,3513108,cravinhense,31.691,"311,40","101,8",577.332
Cristais Paulista,3513207,cristalense,7.588,"385,23","19,7",154.295
Cruzália,3513306,cruzaliense,2.274,"149,05","15,3",75.568
Cruzeiro,3513405,cruzeirense,77.039,"305,70","252,0",1.343.757
Cubatão,3513504,cubatonense,118.72,"142,88","830,9",5.547.569
Cunha,3513603,cunhense,21.866,"1.407,32","15,5",173.724
Descalvado,3513702,descalvadense,31.056,"753,71","41,2",796.505
Diadema,3513801,diademense,386.089,"30,80","12.537,0",11.786.624
Dirce Reis,3513850,dircense,1.689,"88,35","19,1",28.243
Divinolândia,3513900,divinolandense,11.208,"222,13","50,5",160.999
Dobrada,3514007,dobradense,7.939,"149,73","53,0",81.693
Dois Córregos,3514106,dois-correguense,24.761,"632,97","39,1",619.702
Dolcinópolis,3514205,dolcinopolense,2.096,"78,34","26,8",32.39
Dourado,3514304,douradense,8.609,"205,87","41,8",158.7
Dracena,3514403,dracenense,43.258,"488,04","88,6",720.338
Duartina,3514502,duartinense,12.251,"264,56","46,3",160.325
Dumont,3514601,dumonense,8.143,"111,36","73,1",111.683
Echaporã,3514700,echaporense,6.318,"515,43","12,3",107.595
Eldorado,3514809,eldoradense,14.641,"1.654,26","8,9",165.532
Elias Fausto,3514908,elias-faustense,15.775,"202,69","77,8",654.552
Elisiário,3514924,elisiarense,3.12,"93,98","33,2",57.48
Embaúba,3514957,embaubense,2.423,"83,13","29,2",45.322
Embu das Artes,3515004,embuense,240.23,"70,39","3.412,9",5.285.060
Embu-Guaçu,3515103,embu-guaçuense,62.769,"155,63","403,3",685.856
Emilianópolis,3515129,emilianópolense,3.02,"224,49","13,5",42.194
Engenheiro Coelho,3515152,engenheiro coelhense,15.721,"109,94","143,0",293.392
Espírito Santo do Pinhal,3515186,pinhalense,41.907,"389,42","107,6",826.329
Espírito Santo do Turvo,3515194,espírito santense,4.244,"193,66","21,9",99.992
Estiva Gerbi,3557303,estivense,10.044,"74,21","135,4",193.255
Estrela do Norte,3515301,estrelense,2.658,"263,42","10,1",50.662
Estrela d`Oeste,3515202,estrelense,8.208,"296,41","27,7",711.366
Euclides da Cunha Paulista,3515350,euclidense,9.585,"575,21","16,7",86.002
Fartura,3515400,farturense,15.32,"429,17","35,7",224.858
Fernando Prestes,3515608,fernando-prestense,5.534,"170,67","32,4",124.48
Fernandópolis,3515509,fernandopolense,64.696,"550,03","117,6",1.234.171
Fernão,3515657,fernãoense,1.563,"100,76","15,5",23.501
Ferraz de Vasconcelos,3515707,ferrazense,168.306,"29,57","5.692,6",1.805.024
Flora Rica,3515806,flora-riquense,1.752,"225,30","7,8",37.687
Floreal,3515905,florealense,3.003,"204,30","14,7",61.676
Flórida Paulista,3516002,floridense,12.848,"525,08","24,5",181.927
Florínia,3516101,florineense,2.829,"225,63","12,5",172.009
Franca,3516200,francano,318.64,"605,68","526,1",5.714.973
Francisco Morato,3516309,moratense,154.472,"49,07","3.147,8",1.112.977
Franco da Rocha,3516408,franco-rochense,131.604,"134,16","981,0",1.936.098
Gabriel Monteiro,3516507,monteirense,2.708,"138,55","19,6",93.392
Gália,3516606,galiense,7.011,"356,01","19,7",117.35
Garça,3516705,garcense,43.115,"555,63","77,6",804.542
Gastão Vidigal,3516804,vidigalense,4.193,"180,94","23,2",52.507
Gavião Peixoto,3516853,gavionense,4.419,"243,77","18,1",372.504
General Salgado,3516903,salgadense,10.669,"493,35","21,6",223.331
Getulina,3517000,getulinense,10.765,"678,70","15,9",174.006
Glicério,3517109,glicerense,4.565,"273,56","16,7",78.346
Guaiçara,3517208,guaiçarense,10.67,"271,14","39,4",127.634
Guaimbê,3517307,guaimbeense,5.425,"218,01","24,9",67.737
Guaíra,3517406,guairense,37.404,"1.258,48","29,7",970.934
Guapiaçu,3517505,guapiaçuense,17.869,"324,92","55,0",440.064
Guapiara,3517604,guapiense,17.998,"408,29","44,1",207.96
Guará,3517703,guaraense,19.858,"362,48","54,8",354.568
Guaraçaí,3517802,guaraçaiense,8.435,"569,87","14,8",169.344
Guaraci,3517901,guaraciense,9.976,"641,50","15,6",179.484
Guarani d`Oeste,3518008,guaraniense,1.97,"85,53","23,0",24.249
Guarantã,3518107,guarantãense,6.404,"461,15","13,9",163.106
Guararapes,3518206,guararapense,30.597,"956,34","32,0",812.669
Guararema,3518305,guararemense,25.844,"270,82","95,4",484.022
Guaratinguetá,3518404,guaratinguetaense,112.072,"752,64","148,9",2.221.384
Guareí,3518503,guareiense,14.565,"566,35","25,7",235.562
Guariba,3518602,guaribense,35.486,"270,29","131,3",624.156
Guarujá,3518701,guarujaense,290.752,"143,45","2.026,8",4.137.974
Guarulhos,3518800,guarulhense,1.221.979,"318,68","3.834,5",43.476.753
Guatapará,3518859,guataparaense,6.966,"413,74","16,8",143.316
Guzolândia,3518909,guzolandense,4.754,"252,01","18,9",68.911
Herculândia,3519006,herculandense,8.696,"364,64","23,9",140.595
Holambra,3519055,holambrense,11.299,"65,58","172,3",574.674
Hortolândia,3519071,hortolandense,192.692,"62,28","3.094,2",6.701.935
Iacanga,3519105,iacanguense,10.013,"547,39","18,3",426.789
Iacri,3519204,iacriano,6.419,"322,63","19,9",121.232
Iaras,3519253,iarense,6.376,"401,31","15,9",105.24
Ibaté,3519303,ibateense,30.734,"290,66","105,7",505.059
